审查ID	step	自动分层	uid	问题	gold	模型答案	证据标签	答案标签	人工审查说明
S8-hit_valid-02	8	hit_valid	6e6460b6-073d-4c01-b46e-d1d3fff807b3	who does michael fire in the halloween episode?	Devon	Michael Fire is not mentioned in the Halloween episode of The Office. The episode refers to Devon as the background character, but there is no record of Michael Fire being fired in this episode.	S	W	Halloween 条目围绕 Devon 离场和对 Michael 的愤怒，可支持被解雇对象；模型否认
S8-hit_valid-03	8	hit_valid	17ae5d07-914a-44c8-9cb3-79fb0812a236	Which film has the director died earlier, Champ For A Day or Otec Neznámý Aneb Cesta Do Hlubin Duše Výstrojního Náčelníka?	Champ For A Day	Insufficient information to determine who died earlier.	I	W	只识别 Champ for a Day 及导演姓氏，未找到两位导演死亡日期
S8-hit_valid-04	8	hit_valid	66115483-7cbb-4ed0-8145-9fa3dcf5bfc5	division of the back contains the neck vertebrae?	Cervical vertebrae	Yes, the division of the back (vertebral column) includes the neck vertebrae (cervical vertebrae).	S	C	直接说明 neck vertebrae 为 cervical vertebrae；完整句导致 strict EM 失败
S8-hit_valid-05	8	hit_valid	0a740b39-4d1b-4cfb-b60a-9264703f5bc5	what was rome's first set of written laws called?	Law of the Twelve Tables	The Twelve Tables	S	C	The Twelve Tables 是 Law of the Twelve Tables 的标准简称
S8-hit_valid-06	8	hit_valid	f4cceeee-c29d-494d-9e76-3c7d7fe616cb	Nicholas Hoult played the role of Marcus Brewer in the comedy film co-written by whom?	Chris Weitz and Paul Weitz	Chris and Paul Weitz	S	C	Chris and Paul Weitz 与 gold 同一两人，简称可接受
S8-hit_valid-07	8	hit_valid	b60b66b9-ced9-416c-bb44-30404216158b	when did pablo sandoval go back to the giants?	2017	August 5, 2017	S	C	2017 及回归 Giants 事实明确，回答更精确到日期
S8-hit_valid-08	8	hit_valid	8d911332-5546-4e41-af50-e87b75917c00	who was apollo creed fighting when he died?	Drago	Invincible, Drago	S	P	Drago 正确，但输出额外加入无意义的 Invincible
S8-hit_valid-09	8	hit_valid	8b6205f6-66d6-4fb0-86cf-3ed340ce9f69	Carbrini Sportswear which is owned by JD Sports is based in?	Bury, Greater Manchester, England	Bury, Greater Manchester	S	C	Bury, Greater Manchester 与更完整 gold 地点一致
S8-hit_valid-10	8	hit_valid	191a656a-0e9b-4bf9-a01f-aed2e43ade04	who had the best batting average in baseball history?	Ty Cobb	Ty Cobb had the best batting average in baseball history with a .366 career average.	S	C	直接给 Ty Cobb 最高生涯打击率，完整句导致 strict EM 失败
S8-hit_invalid-01	8	hit_invalid	9e7edfcb-4e82-4da7-86e5-192ab9c3987c	Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?	Anna Kournikova		I	N	Anna Kournikova 出现在其他赛事/搭档叙述，未建立法国网球公开赛亚军及出生日期关系
S8-hit_invalid-02	8	hit_invalid	61f8ca4a-a78e-436f-a9b4-bccc98f24db3	Are Black Orchids (Film) and The Clerics from the same country?	no		I	N	只检索 Black Orchids，缺 The Clerics 及两国比较
S8-hit_invalid-03	8	hit_invalid	f9a6d0c8-d7c9-4d32-af37-824d2bad3ac6	Alfred Shepherd was posted to the squadron that was a unit of what part of the Royal Air Force?	Royal Flying Corps		S	N	Alfred Shepherd 转入 Royal Flying Corps 并被派往 squadron 的链路充分，但未答
S8-hit_invalid-04	8	hit_invalid	00f11b49-ce9e-408e-9d9a-18e21a1494fa	who starred in oh what a lovely war?	Malcolm McFee | Michael Redgrave | Ralph Richardson | Phyllis Calvert | Paul Shelley | Jack Hawkins | Corin Redgrave | Ian Holm | Nanette Newman | Laurence Olivier | John Gielgud | Maggie Smith | Kenneth More | Vanessa Redgrave | Maurice Roëves | John Mills | Dirk Bogarde | John Clements | Edward Fox | Susannah York | Jean-Pierre Cassel		S	N	ensemble cast 完整列出多个可接受 gold，但未答
S8-hit_invalid-05	8	hit_invalid	71eefbb5-dec5-4e93-99eb-e7ba51f8da3c	Who was the producer of 1988 British-American high fantasy film 'Willow' which included the actor, impressionist and comedian Kevin Pollak in his first major film role?	George Lucas		S	N	直接说明 Willow 由 George Lucas 制作，但未答
S8-miss_valid-01	8	miss_valid	fac52b84-cdb2-4269-ad34-ad29ac75a583	What two teams played in the final to advance to the npower Championship?	Crystal Palace and Watford	No information available about the npower Championship or the teams involved.	I	W	npower 被检索成同名非营利组织，未找到 Crystal Palace/Watford
S8-miss_valid-02	8	miss_valid	38650c6f-b899-4820-8ec0-91291a94c178	Do director of film Big Fan and director of film Cap Tourmente (Film) share the same nationality?	no	"No, the directors of ""Big Fan"" (Robert D. Siegel) and ""Cap Tourmente (Film)"" (Walter Tournier) do not share the same nationality. Tournier is Uruguayan, while Siegel's nationality is not specified in the search results."	I	P	最终 no 与 gold 一致，但误认 Cap Tourmente 导演为 Walter Tournier，推理链错误
S8-miss_valid-03	8	miss_valid	de3fdecb-75b9-406c-a235-4b68370642a3	where will failure of the left ventricle cause increased pressure?	the pulmonary venous system	left ventricle	S	W	证据明确 increased pulmonary venous congestion，模型误答 left ventricle
S8-miss_valid-04	8	miss_valid	70be25d0-a215-44e2-b7d8-8b0676afb380	What organization shares jurisdiction with the agency which National Center for the Analysis of Violent Crime is part of?	DEA | Drug Enforcement Administration	The Behavioral Analysis Unit (BAU) shares jurisdiction with the National Center for the Analysis of Violent Crime (NCAVC).	I	W	只确认 NCAVC 属 FBI，未检索 FBI 与 DEA 的共享管辖事实
S8-miss_valid-05	8	miss_valid	b3ace5a1-6ed7-499e-8f99-03e7971908d5	Who was the spouse of the author whose novels painted a dismal portrait of Victorian London?	Catherine Dickens	Elizabeth Dickens	I	W	只识别 Charles Dickens，未检索配偶 Catherine Dickens
S8-miss_valid-06	8	miss_valid	ccc2ef71-28fd-48dc-a681-8aea0a2e1ae3	What is the place of birth of the director of film The Dove'S Lost Necklace?	Korba	Chicoutimi, Quebec	I	W	只识别导演 Nacer Khemir，未检索其出生地 Korba，答案来自无关人物
S8-miss_valid-07	8	miss_valid	159bfea8-053d-42b8-907f-7721faad47b8	What was the date of death of a racially charged entertainment performer?	June 12, 1948	Lew Dockstader died on October 26, 1924.	I	W	开放描述匹配到多个 blackface performer，未识别数据集目标及日期
S8-miss_valid-08	8	miss_valid	65eb4f78-9b1d-4c16-8efc-5f80896d5f86	"Where is the filmmaker who made ""Ain't Them Bodies Saints"", which premiered at Sundance Film Festival in 2013, based?"	Dallas, Texas	David Lowery	I	W	只回答导演姓名，未取得其 based in Dallas 的地点信息
S8-miss_valid-09	8	miss_valid	1cc9d7e6-4b78-431f-a8db-029598d61be2	In terms of population, what was the rank of the state where Deoghar District is located?	14th	The state where Deoghar District is located (Jharkhand) has a population rank of 337th in India, as per the 2011 census. However, the exact rank of Jharkhand as a state is not provided in the search results.	I	W	把 district 的全国排名与州人口排名混淆，未得到 14th
S8-miss_valid-10	8	miss_valid	e1ab12f0-9f55-455d-9158-9dca9947ccdf	What was the student enrollment at all campuses in the Fall of 2014 for the University where Danny Manning played?	26,968	3,961	I	W	未识别 Danny Manning 的 University of Kansas，抽取错误学校 enrollment
S8-miss_invalid-01	8	miss_invalid	86b52754-a145-4a5c-9333-63cac16aa080	Who was the 2017 leader of the country where the company that manufactured the Standard Ten operated?	Theresa May		I	N	Standard Ten 制造商与英国领导人链路未开始
S8-miss_invalid-02	8	miss_invalid	569f63a8-bb5d-4c8c-aa51-d2703417fb5b	In season 5 of the series with the episode All The Pretty Sources who is Blair's baby daddy?	Louis Grimaldi		I	N	格式错误导致搜索未执行，无证据无答案
S8-miss_invalid-03	8	miss_invalid	42990bbc-c806-463b-8c93-8eacfd09f42f	when was an audience with cliff richards made?	1999		I	N	检索到节目和巡演条目但没有 1999 制作日期
S8-miss_invalid-04	8	miss_invalid	0aab59b5-5ca4-4aed-abcb-bb107a67ca49	The national railway that developed the USRA Heavy Mikado came to and end in which year?	1920		I	N	只确认 USRA 是国有铁路系统，未取得其 1920 终止年份
S8-miss_invalid-05	8	miss_invalid	5863f873-2593-432f-80ae-98e069c13e00	Who is the first Prime Minister of the country where Ultimax 100 is from?	Lee Kuan Yew		I	N	只完成 Ultimax 100 来自新加坡第一跳，未检索首任总理
